Stations_id;Bezugszeitraum;Datenquelle;Jan.;Feb.;März;Apr.;Mai;Jun.;Jul.;Aug.;Sept.;Okt.;Nov.;Dez.;Jahr;
       919;1981-2010;        46;       1.5;       2.2;       6.1;       9.9;      14.5;      17.5;      19.6;      18.9;      14.7;      10.1;       5.4;       2.4;      10.2;
       931;1981-2010;        46;        -1;       -.1;       3.7;       7.4;      12.1;      15.2;      17.3;      16.9;        13;       8.6;         3;         0;         8;
       948;1981-2010;        46;        .8;       1.5;         5;       9.4;      14.2;        17;      19.4;      18.8;      14.6;       9.8;         5;       1.6;       9.7;
       953;1981-2010;        42;        .5;       1.1;       4.3;       7.7;      12.1;      14.8;      17.2;      16.8;      13.1;       9.1;       4.4;       1.4;       8.5;
       963;1981-2010;        51;       1.7;       2.1;       5.1;       8.9;      13.2;      15.8;      18.1;      17.6;      13.9;       9.7;       5.5;       2.4;       9.5;
       964;1981-2010;        46;        .3;        .8;       4.3;       7.7;      12.1;      15.1;      17.1;      16.6;      12.7;       8.8;       4.1;       1.2;       8.4;
       965;1981-2010;        46;        .7;       1.4;       4.9;       9.4;      14.3;        17;      19.3;      18.8;      14.5;       9.9;       4.9;       1.6;       9.7;
       970;1981-2010;        46;       -.7;         0;       3.9;         8;      12.8;      15.7;      17.9;      17.4;      13.1;       8.5;       3.5;        .4;       8.4;
       979;1981-2010;        51;        .3;        .8;       4.2;       7.9;      12.6;      15.5;      17.5;      16.7;      12.8;       8.6;       4.2;       1.1;       8.5;
       982;1981-2010;        51;       -.5;        .3;       4.7;       8.8;      13.8;      16.9;      18.9;      18.2;      13.7;         9;       3.5;        .8;         9;
       983;1981-2010;        42;       -.5;        .5;       4.7;       8.9;      13.8;      16.8;      18.7;        18;      13.7;         9;       3.7;        .6;         9;
       991;1981-2010;        42;       -.7;         0;       3.3;       7.6;      12.7;      15.4;      17.5;      17.1;      12.9;       8.5;       3.6;        .1;       8.2;
       998;1981-2010;        46;       -.1;        .2;       3.4;       6.8;      11.5;      14.5;      16.7;      16.4;      12.5;       8.7;       3.7;        .8;       7.9;
      1000;1981-2010;        46;       1.2;       1.4;       3.9;       7.7;      12.1;      15.2;      17.7;      17.5;      14.1;       9.8;       5.2;       2.1;         9;
      1001;1981-2010;        51;         0;        .7;       4.4;       8.7;      13.8;      16.6;      18.9;      18.3;      14.1;       9.5;       4.4;         1;       9.2;
      1003;1981-2010;        46;        .2;        .8;       4.3;       8.6;      13.5;      16.2;      18.6;      18.1;      13.9;       9.4;       4.4;         1;       9.1;
      1006;1981-2010;        46;        .9;       1.4;       4.5;       8.7;      13.4;        16;      18.4;      17.9;        14;       9.4;       4.9;       1.7;       9.3;
      1018;1981-2010;        46;      -1.3;       -.6;       3.2;       7.1;      11.8;      15.1;      17.2;      16.4;      12.4;       8.2;       2.8;       -.2;       7.7;
      1032;1981-2010;        46;       2.5;       2.8;         6;       9.4;      13.8;      16.4;      18.6;        18;      14.4;      10.5;       6.3;       3.2;      10.2;
      1047;1981-2010;        46;        .7;       1.4;         5;       9.5;      14.5;      17.1;      19.5;        19;      14.6;        10;         5;       1.6;       9.8;
      1048;1981-2010;        51;         0;        .8;       4.4;       8.9;      13.8;      16.5;      18.9;      18.4;      14.2;       9.7;       4.4;         1;       9.3;
      1050;1981-2010;        51;        .9;       1.4;       5.1;       9.3;      14.2;        17;      19.4;      18.5;      14.7;      10.2;       5.2;       1.9;       9.8;
      1051;1981-2010;        42;        .6;       1.5;       5.1;       9.4;      14.5;        17;      19.4;      18.9;      14.6;        10;         5;       1.5;       9.8;
      1052;1981-2010;        42;        .6;       1.1;       4.5;       8.9;      13.8;      16.5;      18.9;      18.2;      14.1;       9.5;       4.6;       1.3;       9.3;
      1066;1981-2010;        46;        .6;         1;       4.5;       8.4;        13;      15.6;      17.9;      17.5;      13.6;       9.1;       4.7;       1.3;       8.9;
      1072;1981-2010;        51;       1.6;       2.5;       6.7;      10.5;        15;      18.1;      20.3;      19.6;      15.1;      10.4;       5.7;       2.6;      10.8;
      1073;1981-2010;        46;       1.7;       2.6;       6.3;      10.3;      14.7;      17.7;      19.8;      19.3;      15.1;      10.3;       5.6;       2.6;      10.5;
      1074;1981-2010;        46;        .9;       1.5;       5.1;       9.3;      14.1;      16.8;      19.2;      18.8;      14.6;       9.9;       5.1;       1.6;       9.8;
      1078;1981-2010;        51;         3;       3.4;       6.7;        10;      14.2;      16.8;      19.1;      18.6;        15;      11.1;       6.8;       3.8;      10.7;
      1079;1981-2010;        46;       3.1;       3.5;       6.7;      10.2;      14.5;      17.1;      19.3;      18.6;        15;      11.1;       6.8;       3.8;      10.8;
      1084;1981-2010;        46;       3.2;       3.7;       6.9;      10.5;      14.8;      17.3;      19.5;      18.9;      15.3;      11.4;         7;         4;        11;
      1087;1981-2010;        46;       3.4;       3.9;       7.1;      10.6;        15;      17.4;      19.7;      19.2;      15.6;      11.6;       7.2;       4.1;      11.2;
      1102;1981-2010;        42;         1;       1.7;       5.6;       9.5;      14.1;      17.2;      19.3;      18.6;      14.5;        10;         5;       1.9;       9.9;
      1103;1981-2010;        51;      -1.1;       -.1;       3.9;       8.2;      13.1;      15.7;      17.6;      17.2;      13.2;       8.7;       3.1;       -.2;       8.3;
      1106;1981-2010;        46;        .3;       1.1;       4.4;         9;        14;      16.6;        19;      18.5;      14.2;       9.5;       4.5;       1.2;       9.3;
      1107;1981-2010;        51;       -.7;       -.1;       3.8;       7.8;      12.7;      15.5;      17.5;      16.9;      12.5;       8.2;       3.4;        .3;       8.2;
      1130;1981-2010;        46;       1.4;       1.5;       3.8;       7.5;      11.8;      14.6;      17.1;      16.8;      13.5;       9.5;       5.2;       2.1;       8.7;
      1146;1981-2010;        46;         0;        .8;       4.4;       8.1;      12.6;      15.8;      17.8;      17.2;      13.2;         9;       3.9;       1.1;       8.7;
      1154;1981-2010;        46;      -1.5;       -.3;       3.9;       8.4;      13.4;      16.1;      18.1;      17.6;      13.3;       8.6;       3.1;       -.3;       8.4;
      1161;1981-2010;        42;       -.8;        .1;       4.3;       8.4;      13.4;      16.4;      18.3;      17.8;      13.3;       8.7;       3.4;        .4;       8.6;
      1169;1981-2010;        46;       1.6;       2.6;       6.4;      10.1;      14.5;      17.8;      19.9;      19.2;      15.1;      10.8;       5.5;       2.6;      10.5;
      1172;1981-2010;        46;       1.1;       1.4;       4.9;         9;      13.5;      16.1;      18.4;      17.9;        14;       9.6;       5.2;       1.9;       9.4;
      1182;1981-2010;        46;        .6;       1.1;       4.7;       8.9;      13.6;      16.3;      18.7;      18.2;      14.1;       9.5;       4.7;       1.3;       9.3;
      1188;1981-2010;        46;      -1.4;       -.9;       2.3;       6.4;      11.2;        14;      16.3;      15.9;      11.9;       7.6;       2.8;       -.5;       7.1;
      1197;1981-2010;        51;       -.5;        .1;       3.8;       7.8;      12.7;      15.8;      17.9;      17.2;        13;       8.6;       3.5;        .5;       8.4;
      1200;1981-2010;        42;       1.5;       1.7;       4.2;       7.9;      12.1;      14.9;      17.3;      17.1;      13.8;       9.7;       5.4;       2.3;         9;
      1201;1981-2010;        46;       2.8;       3.2;       6.5;       9.8;        14;      16.7;      18.9;      18.4;      14.7;      10.8;       6.5;       3.6;      10.5;
      1204;1981-2010;        46;         2;       2.2;         5;       8.7;      12.9;      15.5;      17.9;      17.4;        14;        10;       5.7;       2.6;       9.5;
      1207;1981-2010;        51;      -2.2;      -1.4;       2.3;       6.5;      11.8;      14.4;      16.6;      15.7;      11.5;       7.2;       2.3;      -1.2;       6.9;
      1214;1981-2010;        42;        .7;       1.2;       4.6;       8.3;      12.8;        16;        18;      17.5;      13.6;       9.5;       4.4;       1.7;         9;
      1219;1981-2010;        46;       2.3;       2.4;         5;       8.4;      12.4;      15.1;      17.5;      17.3;      14.2;      10.3;       6.1;       2.9;       9.5;
      1221;1981-2010;        46;       2.3;       2.4;         5;       8.3;      12.3;      15.1;      17.4;      17.3;      14.2;      10.2;       6.1;       2.9;       9.5;
      1224;1981-2010;        51;       1.3;       2.1;       5.8;       9.3;      13.8;      17.3;      19.1;      18.4;      14.5;      10.1;       4.9;       2.4;       9.9;
      1229;1981-2010;        46;       1.9;       2.3;       5.9;       9.6;        14;        17;        19;      18.3;      14.3;      10.1;       5.7;       2.6;      10.1;
      1238;1981-2010;        46;         2;       2.3;       5.5;       8.9;      13.3;      16.1;        18;      17.4;      13.8;       9.9;       5.7;       2.7;       9.6;
      1239;1981-2010;        46;       -.6;        .4;       4.3;       8.3;        13;        16;      18.2;      17.5;      13.5;       8.9;       3.4;        .5;       8.6;
      1243;1981-2010;        46;        -1;       -.4;         3;       6.6;      11.2;      14.3;      16.4;      15.9;        12;       8.1;         3;        .1;       7.4;
      1246;1981-2010;        46;         2;       2.4;       5.5;       9.2;      13.5;      16.1;      18.3;      17.8;      14.1;      10.1;       5.9;       2.7;       9.8;
      1254;1981-2010;        46;       1.3;       2.1;         6;       9.8;      14.4;      17.4;      19.5;      18.9;      14.7;      10.1;       5.2;       2.2;      10.1;
      1255;1981-2010;        42;       1.1;       2.1;       5.9;       9.7;      14.3;      17.2;      19.3;      18.8;      14.6;        10;       5.1;       2.2;        10;
      1262;1981-2010;        42;        -1;        .1;       4.2;       8.5;      13.5;      16.4;      18.3;      17.8;      13.5;       8.9;       3.5;        .2;       8.7;
      1266;1981-2010;        51;       1.4;       1.6;       4.1;       7.8;        12;      14.8;      17.2;      16.9;      13.5;       9.6;       5.2;       2.1;       8.9;
      1270;1981-2010;        51;       -.3;        .2;       3.9;       8.2;      12.9;      15.5;      17.9;      17.7;      13.6;         9;       3.9;        .6;       8.6;
      1275;1981-2010;        46;      -1.3;         0;       4.3;       8.8;      13.9;      16.6;      18.5;      17.9;      13.7;         9;       3.4;       -.1;       8.7;
      1276;1981-2010;        46;        .1;        .9;       4.9;       9.1;      13.9;      17.1;      19.1;      18.3;      14.2;       9.6;       4.2;       1.2;       9.4;
      1279;1981-2010;        51;        .2;        .9;       4.8;       9.1;        14;        17;      19.2;      18.5;      13.9;       9.3;       4.3;       1.2;       9.4;
      1280;1981-2010;        46;        .1;        .9;       4.7;         9;      13.9;      16.8;      18.9;      18.2;      13.9;       9.2;       4.3;       1.1;       9.3;
      1287;1981-2010;        46;        .5;         1;       4.7;       8.5;        13;      15.8;      17.9;      17.3;      13.4;       9.1;       4.4;       1.4;       8.9;
      1292;1981-2010;        51;      -1.3;       -.5;       3.7;         8;      13.2;      15.8;      17.8;      17.5;      12.9;       8.3;       2.8;       -.2;       8.2;
      1297;1981-2010;        51;       1.1;       1.3;       4.8;       8.6;        13;      15.8;      17.9;      17.3;      13.6;       9.5;       5.1;       1.9;       9.2;
      1299;1981-2010;        46;       2.3;       2.4;       4.9;       8.3;      12.2;      14.9;      17.3;      17.1;      14.1;      10.2;         6;         3;       9.4;
      1300;1981-2010;        51;        .5;        .4;       3.7;       7.1;      11.6;      14.3;      16.5;      15.5;      12.2;       8.5;       4.3;       1.4;       8.1;
      1303;1981-2010;        51;       2.6;       2.9;       6.2;       9.6;      13.8;      16.1;      18.5;        18;      14.6;      10.7;       6.4;       3.2;      10.3;
      1327;1981-2010;        51;       2.5;       2.9;       6.3;       9.2;      13.5;      16.3;      18.6;      18.1;      14.6;      10.8;       6.3;       3.3;      10.2;
      1329;1981-2010;        46;       1.1;       1.3;       3.8;       7.6;        12;      14.8;      17.3;        17;      13.5;       9.4;         5;       1.9;       8.7;
      1332;1981-2010;        51;      -1.4;         0;       4.2;       8.7;      13.8;      16.6;      18.6;      18.2;      13.8;         9;       3.2;       -.2;       8.7;
      1339;1981-2010;        42;        .9;       1.2;       4.2;       8.3;        13;      15.6;      17.9;      17.2;      13.4;       9.1;       4.7;       1.6;       8.9;
      1345;1981-2010;        46;       -.2;        .3;       3.3;       7.7;      12.5;      15.2;      17.7;      17.3;      13.3;       8.8;       3.8;        .5;       8.3;
      1346;1981-2010;        51;      -2.6;        -3;      -1.1;       1.9;       6.4;       9.4;      11.8;      11.7;       8.3;       5.4;        .5;      -1.8;         4;
